Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Ed Puskarich,DAL,D,18,14,1238,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,12,14,1,2,0,,1996,reg
Tommy Reasoner,KC ,D,13,7,646,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,4,8,2,0,0,,1996,reg
Brandon Pollard,DAL,D,10,9,820,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,8,8,0,0,0,,1996,reg
Richard Weiszmann,NE ,D,10,9,817,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,7,2,0,0,0,,1996,reg
Patrick Tardieu,NE ,F,5,0,69,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1996,reg
Jeff Zaun,MET,D,21,19,1584,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,20,26,0,5,0,,1996,reg
Ryshiem Henderson,SJ ,F,3,0,78,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,5,2,0,0,0,,1996,reg
Jorge Flores,DAL,M,8,3,292,0,0,3,2,0,0/0,0,0,0,,,0,,0,5,4,0,2,0,,1996,reg
Frank Yallop,TB ,D,29,28,2513,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,15,9,0,4,0,,1996,reg
Shane Battelle,CLB,M,15,10,841,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,14,15,0,2,0,,1996,reg
Oscar Draguicevich,SJ ,D,19,17,1416,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,37,26,0,5,1,,1996,reg
Derek Backman,TB ,M,25,14,1368,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,20,8,0,2,0,,1996,reg
Juan Suarez,DC ,F,2,2,160,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,1,3,0,0,0,,1996,reg
Paul Young,CLB,F,4,1,137,0,0,5,4,0,0/0,0,0,0,0,0,0,0,0,0,4,0,0,0,,1996,reg
Jimmy Glenn,DAL,F,9,0,115,0,0,5,4,0,0/0,0,0,0,0,0,0,0,0,2,1,2,0,0,,1996,reg
Ian Butterworth,COL,D,17,17,1379,0,0,5,2,0,0/0,0,0,0,0,0,0,0,0,18,8,0,4,0,,1996,reg
Ted Gillen,MET,D,15,9,819,0,0,6,1,0,0/0,0,0,0,0,0,0,0,0,4,10,1,0,0,,1996,reg
Brian Bates,COL,M,19,7,896,0,0,6,3,0,0/0,0,0,0,0,0,0,0,0,9,8,0,2,0,,1996,reg
Clint Peay,DC ,D,19,18,1665,0,0,6,2,0,0/0,0,0,0,0,0,0,0,0,22,15,0,2,0,,1996,reg
Mickey Kydes,MET,M,11,7,556,0,0,8,5,0,0/0,0,0,0,0,0,0,0,0,6,6,0,3,0,,1996,reg
Matt Knowles,MET,D,21,16,1589,0,0,8,2,0,0/0,0,0,0,0,0,0,0,0,19,16,0,5,0,,1996,reg
Nelson Vargas,TB ,M,9,4,443,0,0,9,2,0,0/0,0,0,0,0,0,0,0,0,6,15,2,0,0,,1996,reg
Dominic Kinnear,COL,M,14,11,973,0,0,12,4,0,0/0,0,0,0,0,0,0,0,0,15,17,2,4,0,,1996,reg
Cristian da Silva,MET,D,20,12,1158,0,0,13,1,0,0/0,0,0,0,0,0,0,0,0,17,16,0,3,1,,1996,reg
Janusz Michallik,CLB,M,31,28,2490,0,0,14,2,0,0/0,0,0,0,0,0,0,0,0,30,23,0,2,0,,1996,reg
Roy Lassiter,TB ,F,30,30,2580,27,4,76,49,4,3-Mar,19,8,0.94,35.5,2,2,2,0.14,20,39,70,2,0,,1996,reg
Raul Diaz Arce,DC ,F,28,28,2351,23,2,100,49,4,4-Apr,15,8,0.88,23,0,0,2,0.08,32,26,35,6,1,,1996,reg
Eduardo Hurtado,LA ,F,26,26,2323,21,7,87,56,6,3-Feb,13,8,0.81,24.1,0,4,3,0.27,48,26,25,5,0,,1996,reg
Preki,KC ,M,32,32,2880,18,13,140,61,3,8-Jul,14,4,0.56,12.9,2,9,4,0.41,26,44,7,3,0,,1996,reg
Brian McBride,CLB,F,28,28,2307,17,3,79,44,3,4-Mar,12,5,0.66,21.5,0,2,1,0.12,21,46,10,0,0,,1996,reg
Steve Rammel,DC ,F,26,20,1649,14,3,54,32,6,0/0,11,3,0.76,25.9,0,3,0,0.16,27,42,20,4,0,,1996,reg
Vitalis Takawira,KC ,F,28,25,2233,13,7,70,48,3,0/0,10,3,0.52,18.6,0,4,3,0.28,35,42,44,0,1,,1996,reg
Paul Bravo,SJ ,M,31,31,2654,13,5,58,29,4,1-Jan,3,10,0.44,22.4,0,5,0,0.17,36,69,30,2,0,,1996,reg
Jason Kreis,DAL,M,31,29,2564,13,5,90,41,3,0/0,7,6,0.46,14.4,0,3,2,0.18,38,48,7,4,0,,1996,reg
Giovanni Savarese,MET,F,26,15,1576,13,1,49,32,3,1-Jan,8,5,0.74,26.5,0,1,0,0.06,27,22,38,1,0,,1996,reg
Pete Marino,CLB,F,29,18,1700,11,4,52,36,1,0/0,4,7,0.58,21.2,1,1,3,0.21,41,34,28,0,0,,1996,reg
Jean Harbor,COL,F,29,27,2111,11,4,61,33,0,3-Mar,7,4,0.47,18,2,4,0,0.17,43,39,24,3,1,,1996,reg
Joe-Max Moore,NE ,F,14,14,1238,11,1,36,19,4,3-Mar,8,3,0.8,30.6,0,1,0,0.07,20,24,16,2,0,,1996,reg
Eric Wynalda,SJ ,F,27,26,2326,10,13,68,38,3,2-Feb,6,4,0.39,14.7,2,9,4,0.5,39,55,40,6,0,,1996,reg
Eduardo Espinoza,SJ ,F,26,26,2310,10,5,54,30,3,0/0,7,3,0.39,18.5,1,1,4,0.19,33,49,35,5,1,,1996,reg
Mark Chung,KC ,M,32,32,2847,8,9,81,40,2,0/0,4,4,0.25,9.9,2,5,4,0.28,35,69,4,0,0,,1996,reg
Shaun Bartlett,COL,F,26,26,2252,8,7,88,39,3,0/0,5,3,0.32,9.1,1,5,2,0.28,25,32,27,5,0,,1996,reg
Giuseppe Galderisi,NE ,F,25,22,1961,7,8,57,25,1,0/0,4,3,0.32,12.3,2,3,5,0.37,32,89,22,5,0,,1996,reg
Cobi Jones,LA ,M,28,27,2375,7,4,48,24,0,0/0,1,6,0.27,14.6,2,3,1,0.15,26,76,15,2,0,,1996,reg
Steve Ralston,TB ,M,31,31,2762,7,2,24,12,5,0/0,5,2,0.23,29.2,0,1,1,0.07,25,33,4,1,0,,1996,reg
Marcelo Balboa,COL,D,18,16,1525,7,2,28,14,1,0/0,4,3,0.41,25,1,2,0,0.12,15,22,4,2,0,,1996,reg
Adrian Paz,CLB,M,27,19,1802,6,10,48,25,1,1-Jan,4,2,0.3,12.5,0,4,6,0.5,36,54,36,1,0,,1996,reg
Alberto Naveda,NE ,F,25,20,1734,6,7,65,35,1,0/0,4,2,0.31,9.2,2,5,2,0.36,51,60,3,8,0,,1996,reg
Harut Karapetyan,LA ,F,28,23,1860,6,6,62,30,1,0/0,4,2,0.29,9.7,1,2,4,0.29,27,27,16,1,0,,1996,reg
Hugo Sanchez,DAL,F,23,21,1708,6,3,40,23,1,1-Jan,5,1,0.32,15,1,2,1,0.16,27,36,9,6,1,,1996,reg
Maurice Johnston,KC ,M-F,29,29,2573,6,3,54,28,1,0/0,4,2,0.21,11.1,2,2,1,0.1,34,24,23,4,0,,1996,reg
Antony De Avila,MET,F,8,7,650,6,2,20,13,1,0/0,5,1,0.83,30,1,1,1,0.28,19,9,6,1,0,,1996,reg
Mauricio Cienfuegos,LA ,M,28,27,2405,5,11,47,26,2,3-Feb,4,1,0.19,10.6,2,5,6,0.41,24,46,17,6,0,,1996,reg
Gerell Elliott,DAL,F,20,16,1523,5,7,43,24,1,0/0,4,1,0.3,11.6,2,1,6,0.41,15,25,20,0,0,,1996,reg
Martin Vasquez,TB ,M,31,31,2700,5,6,51,25,2,0/0,2,3,0.17,9.8,0,6,0,0.2,49,36,2,5,0,,1996,reg
Brian Maisonneuve,CLB,M,15,13,1209,5,2,22,12,3,0/0,2,3,0.37,22.7,1,1,1,0.15,24,27,2,1,0,,1996,reg
John Kerr,DAL,F,19,16,1404,5,2,29,14,1,0/0,1,4,0.32,17.2,2,2,0,0.13,21,19,11,1,0,,1996,reg
A.J. Wood,MET,F,21,13,1136,5,2,34,22,2,0/0,3,2,0.4,14.7,0,2,0,0.16,17,25,4,0,0,,1996,reg
Steve Trittschuh,COL,D,32,32,2880,5,2,45,20,1,0/0,4,1,0.16,11.1,1,2,0,0.06,51,31,1,2,0,,1996,reg
Diego Viera,TB ,F,17,6,774,5,0,17,10,0,0/0,3,2,0.58,29.4,0,0,0,0,21,12,10,3,1,,1996,reg
Marco Etcheverry,DC ,M,26,23,2144,4,19,51,30,2,0/0,3,1,0.17,7.8,6,10,9,0.8,36,50,4,7,0,,1996,reg
Carlos Valderrama,TB ,M,23,23,2059,4,17,24,12,2,3-Mar,3,1,0.17,16.7,6,13,4,0.74,10,40,3,0,0,,1996,reg
Tony Sanneh,DC ,D,25,24,2047,4,8,32,19,1,0/0,1,3,0.18,12.5,2,5,3,0.35,55,20,5,4,0,,1996,reg
Mike Sorber,KC ,M,23,23,1960,4,6,34,12,2,0/0,2,2,0.18,11.8,1,5,1,0.28,29,27,2,2,0,,1996,reg
Darren Sawatzky,NE ,F,28,19,1776,4,5,41,22,2,0/0,2,2,0.2,9.8,1,4,1,0.25,25,8,16,1,0,,1996,reg
Miles Joseph,MET,M,24,23,1927,4,4,27,19,2,0/0,2,2,0.19,14.8,0,2,2,0.19,26,28,7,3,0,,1996,reg
Brian Haynes,DAL,M,26,23,1983,4,3,29,16,1,0/0,2,2,0.18,13.8,1,1,2,0.14,26,40,3,1,0,,1996,reg
Paul Keegan,NE ,F,27,20,1844,4,3,30,18,0,0/0,3,1,0.2,13.3,0,1,2,0.15,40,40,16,4,0,,1996,reg
Rob Johnson,MET,F,18,12,1136,4,3,34,16,1,0/0,3,1,0.32,11.8,1,2,1,0.24,27,17,9,2,0,,1996,reg
Marcelo Carrera,CLB,F,30,12,1339,4,2,26,16,0,0/0,2,2,0.27,15.4,0,2,0,0.13,15,36,2,0,0,,1996,reg
Washington Rodriguez,DAL,M-F,14,9,806,4,2,28,16,2,1-Jan,1,3,0.45,14.3,1,2,0,0.22,16,18,7,2,1,,1996,reg
Greg Vanney,LA ,D,29,24,2236,4,1,31,13,3,0/0,1,3,0.16,12.9,0,1,0,0.04,30,11,1,2,0,,1996,reg
Tab Ramos,MET,M,25,25,2158,3,10,44,20,0,0/1,1,2,0.13,6.8,3,5,5,0.42,28,75,11,11,1,,1996,reg
Roberto Donadoni,MET,M,17,17,1530,3,8,34,13,1,1-Jan,0,3,0.18,8.8,3,7,1,0.47,10,37,1,1,0,,1996,reg
John Harkes,DC ,M,29,28,2469,3,8,44,26,0,0/0,3,0,0.11,6.8,2,6,2,0.29,31,47,8,4,0,,1996,reg
Chris Henderson,COL,M,29,29,2544,3,8,58,29,1,0/0,2,1,0.11,5.2,0,5,3,0.28,36,40,16,4,0,,1996,reg
John Doyle,SJ ,D,30,30,2652,3,6,27,13,0,0/0,1,2,0.1,11.1,1,6,0,0.2,59,37,3,6,1,,1996,reg
Ivan McKinley,TB ,D-M,26,25,2168,3,6,31,13,0,0/0,2,1,0.12,9.7,1,5,1,0.25,41,22,3,11,0,,1996,reg
Welton,NE ,F,29,20,1909,3,6,34,15,0,0/0,2,1,0.14,8.8,1,2,4,0.28,30,62,25,3,0,,1996,reg
Leonel Alvarez,DAL,M,22,22,1959,3,5,22,14,1,1-Jan,2,1,0.14,13.6,2,4,1,0.23,35,32,3,14,2,,1996,reg
Scott Benedetti,COL,F,32,32,2815,3,5,44,14,3,0/0,3,0,0.1,6.8,2,4,1,0.16,42,72,4,1,0,,1996,reg
Jaime Moreno,DC ,F,9,9,700,3,3,21,9,0,0/0,1,2,0.39,14.3,2,3,0,0.39,14,17,8,0,0,,1996,reg
Geoff Aunger,NE ,D,29,26,2397,3,3,27,8,0,4-Mar,3,0,0.11,11.1,0,2,1,0.11,66,34,2,10,0,,1996,reg
Paul Caligiuri,CLB,D,22,21,1869,3,2,15,5,1,0/0,2,1,0.14,20,0,0,2,0.1,24,22,1,2,1,,1996,reg
Mark Semioli,LA ,D,28,27,2475,3,2,21,14,0,0/0,0,3,0.11,14.3,0,1,1,0.07,41,46,4,5,0,,1996,reg
Doctor Khumalo,CLB,M,25,23,1930,3,2,25,13,0,2-Feb,2,1,0.14,12,1,1,1,0.09,24,48,9,2,0,,1996,reg
Shawn Medved,DC ,M,27,13,1171,3,1,17,12,1,0/0,2,1,0.23,17.6,0,1,0,0.08,23,22,1,0,0,,1996,reg
Jeff Baicher,SJ ,M,30,28,2180,3,1,28,12,2,0/0,2,1,0.12,10.7,1,1,0,0.04,48,50,10,2,0,,1996,reg
Alan Prampin,KC ,F,15,2,337,3,0,11,4,0,0/0,1,2,0.8,27.3,0,0,0,0,4,6,0,0,0,,1996,reg
Robert Warzycha,CLB,M,20,20,1747,2,11,45,17,0,0/0,1,1,0.1,4.4,3,8,3,0.57,34,53,1,6,0,,1996,reg
Billy Thompson,CLB,M,24,24,2074,2,8,21,9,0,0/0,1,1,0.09,9.5,1,5,3,0.35,8,44,2,1,0,,1996,reg
Ben Iroha,SJ ,M,29,24,2194,2,8,34,20,0,0/0,2,0,0.08,5.9,3,3,5,0.33,54,26,4,6,0,,1996,reg
Diego Sonora,DAL,M-D,31,31,2720,2,7,23,13,0,0/0,1,1,0.07,8.7,1,3,4,0.23,46,49,7,5,0,,1996,reg
Ted Eck,DAL,M-F,26,16,1564,2,6,24,15,0,0/0,0,2,0.12,8.3,2,4,2,0.35,34,37,18,3,0,,1996,reg
Roy Wegerle,COL,F,22,16,1458,2,6,28,14,0,0/0,1,1,0.12,7.1,3,3,3,0.37,13,19,13,1,0,,1996,reg
Frank Klopas,KC ,F,22,16,1235,2,4,24,7,1,0/0,2,0,0.15,8.3,1,3,1,0.29,26,25,6,3,0,,1996,reg
Guillermo Jara,LA ,M,21,6,811,2,4,28,8,0,0/0,0,2,0.22,7.1,1,1,3,0.44,13,10,5,0,0,,1996,reg
Cle Kooiman,TB ,D,27,27,2394,2,3,4,3,1,0/0,2,0,0.08,50,0,2,1,0.11,61,16,2,7,0,,1996,reg
Troy Dayak,SJ ,D,25,25,2232,2,3,20,8,0,0/0,2,0,0.08,10,2,1,2,0.12,27,16,3,3,0,,1996,reg
Arash Noamouz,LA ,D,12,11,852,2,2,6,4,1,0/0,2,0,0.21,33.3,0,2,0,0.21,5,14,0,0,0,,1996,reg
Goran Hunjak,TB ,M,21,15,1412,2,2,17,9,1,0/0,1,1,0.13,11.8,0,2,0,0.13,40,14,6,1,0,,1996,reg
Imad Baba,NE ,M,11,8,736,2,2,19,9,0,0/0,0,2,0.24,10.5,1,1,1,0.24,9,23,8,0,0,,1996,reg
Jose Vasquez,LA ,D,14,11,876,2,2,26,13,0,0/0,2,0,0.21,7.7,2,1,1,0.21,34,20,4,4,0,,1996,reg
Richard Sharpe,COL,F,17,7,681,2,2,27,15,0,0/0,1,1,0.26,7.4,0,0,2,0.26,9,11,4,2,0,,1996,reg
Scott Uderitz,KC ,D,28,24,2117,2,1,10,6,0,0/0,1,1,0.09,20,0,1,0,0.04,52,25,0,5,1,,1996,reg
Jorge Salcedo,LA ,M,29,22,2060,2,1,11,7,1,0/0,1,1,0.09,18.2,1,1,0,0.04,22,25,1,4,0,,1996,reg
Eddie Pope,DC ,D,18,18,1575,2,1,12,4,1,0/0,2,0,0.11,16.7,1,0,1,0.06,14,13,0,2,0,,1996,reg
Robert Ukrop,NE ,F,9,8,634,2,1,14,8,0,0/0,0,2,0.28,14.3,0,0,1,0.14,9,10,7,1,0,,1996,reg
Lawrence Lozzano,DAL,M,31,31,2688,2,1,25,15,1,0/0,0,2,0.07,8,0,1,0,0.03,50,55,7,3,0,,1996,reg
Altimont Butler,SJ ,M,14,4,411,2,0,7,4,0,0/0,1,1,0.44,28.6,0,0,0,0,12,2,0,0,0,,1996,reg
Uche Okafor,KC ,D,30,30,2593,2,0,8,6,0,0/0,1,1,0.07,25,0,0,0,0,34,12,0,4,0,,1996,reg
Nicola Caricola,MET,D,26,26,2193,2,0,17,8,1,0/0,1,1,0.08,11.8,0,0,0,0,38,19,4,6,1,,1996,reg
Steve Pittman,TB ,D,26,26,2252,1,6,23,7,1,0/0,1,0,0.04,4.3,1,3,3,0.24,22,23,2,7,0,,1996,reg
Jeff Agoos,DC ,D,32,32,2805,1,5,19,7,0,0/0,0,1,0.03,5.3,1,2,3,0.16,24,43,0,4,0,,1996,reg
Richie Williams,DC ,M,30,30,2570,1,5,29,8,0,0/0,0,1,0.04,3.4,1,2,3,0.18,49,38,5,5,1,,1996,reg
Mario Gori,DC ,D,25,22,1925,1,3,10,7,0,0/0,1,0,0.05,10,1,1,2,0.14,31,26,3,3,0,,1996,reg
Kris Kelderman,DC ,M,18,8,817,1,3,14,6,0,0/0,1,0,0.11,7.1,0,0,3,0.33,13,7,0,0,0,,1996,reg
Peter Woodring,NE ,D,21,20,1622,1,3,25,4,0,0/0,0,1,0.06,4,0,0,3,0.17,24,33,5,3,0,,1996,reg
Jorge Rodas,SJ ,M,29,17,1773,1,3,58,25,0,0/0,1,0,0.05,1.7,1,2,1,0.15,41,33,4,7,0,,1996,reg
Ricardo Iribarren,CLB,D,16,15,1300,1,2,5,3,0,0/0,1,0,0.07,20,2,1,1,0.14,20,14,0,5,1,,1996,reg
Todd Yeagley,CLB,M,22,14,1251,1,2,9,3,0,0/0,0,1,0.07,11.1,0,2,0,0.14,20,14,0,2,1,,1996,reg
Frankie Hejduk,TB ,D,9,8,727,1,2,11,7,1,0/0,0,1,0.12,9.1,0,1,1,0.25,12,15,5,0,0,,1996,reg
John Maessner,DC ,M-D,20,5,713,1,2,12,5,0,0/0,0,1,0.13,8.3,1,2,0,0.25,3,9,0,0,0,,1996,reg
Mark Santel,DAL,M,30,28,2613,1,2,13,8,0,0/0,0,1,0.03,7.7,0,2,0,0.07,28,20,4,5,0,,1996,reg
Ian Hennessey,MET,M,8,4,311,1,1,3,1,0,0/0,0,1,0.29,33.3,0,0,1,0.29,4,5,1,0,0,,1996,reg
Ramiro Corrales,SJ ,M,11,5,461,1,1,4,3,0,0/0,1,0,0.2,25,0,0,1,0.2,9,5,0,1,0,,1996,reg
Henry Gutierrez,SJ ,M,7,4,360,1,1,6,3,0,0/0,1,0,0.25,16.7,0,1,0,0.25,6,6,0,1,0,,1996,reg
Chris Unger,MET,M,16,12,1029,1,1,8,2,0,0/0,0,1,0.09,12.5,0,0,1,0.09,7,12,3,0,0,,1996,reg
Rhett Harty,MET,D,31,31,2662,1,1,10,3,0,0/0,1,0,0.03,10,0,1,0,0.03,55,26,1,7,0,,1996,reg
Mike Burns,NE ,M,17,14,1294,1,1,11,5,0,0/0,1,0,0.07,9.1,0,1,0,0.07,20,7,1,4,0,,1996,reg
Mike Clark,CLB,D,27,27,2329,1,1,12,3,0,0/0,0,1,0.04,8.3,1,1,0,0.04,31,27,1,4,2,,1996,reg
Alexi Lalas,NE ,D,25,25,2218,1,1,17,7,0,0/0,1,0,0.04,5.9,0,0,1,0.04,44,20,1,4,1,,1996,reg
Chris Armas,LA ,M,22,20,1702,1,1,21,9,0,0/0,1,0,0.05,4.8,0,1,0,0.05,33,26,1,3,0,,1996,reg
Peter Vermes,MET,D,30,30,2700,1,1,40,16,1,0/1,1,0,0.03,2.5,1,0,1,0.03,59,40,5,8,0,,1996,reg
Jesse Marsch,DC ,M,4,0,92,1,0,1,1,0,0/0,1,0,0.98,100,0,0,0,0,0,0,0,0,0,,1996,reg
Yari Allnutt,KC ,F,1,0,45,1,0,1,1,0,0/0,0,1,2,100,0,0,0,0,1,0,0,0,0,,1996,reg
Paul Holocher,SJ ,M,4,2,205,1,0,2,2,0,0/0,1,0,0.44,50,0,0,0,0,3,1,1,0,0,,1996,reg
Mark Watson,CLB,D,18,18,1563,1,0,2,1,0,0/0,1,0,0.06,50,0,0,0,0,27,14,0,3,1,,1996,reg
Richard Farrer,DAL,D,31,31,2758,1,0,3,2,1,0/0,0,1,0.03,33.3,0,0,0,0,35,29,1,2,0,,1996,reg
Robin Fraser,LA ,D,27,27,2390,1,0,6,1,0,0/0,1,0,0.04,16.7,0,0,0,0,27,16,0,3,0,,1996,reg
Matt Kmosko,COL,D,31,31,2788,1,0,6,4,0,0/0,1,0,0.03,16.7,0,0,0,0,24,23,0,5,0,,1996,reg
Sean Henderson,COL,M,9,9,780,1,0,7,3,0,0/0,1,0,0.12,14.3,0,0,0,0,7,10,0,0,0,,1996,reg
Zak Ibsen,DAL,M,22,18,1601,1,0,8,6,0,0/0,1,0,0.06,12.5,0,0,0,0,27,19,1,1,0,,1996,reg
Ted Chronopoulos,NE ,D,14,11,1000,1,0,8,4,0,0/0,0,1,0.09,12.5,0,0,0,0,10,12,0,1,0,,1996,reg
Brad Wilson,LA ,D,22,14,969,1,0,8,2,0,0/0,0,1,0.09,12.5,0,0,0,0,27,7,1,4,0,,1996,reg
Tim Martin,SJ ,D,32,32,2871,1,0,10,3,0,0/0,1,0,0.03,10,0,0,0,0,26,40,0,2,0,,1996,reg
John Garvey,LA ,F,13,3,517,1,0,10,5,1,0/0,1,0,0.17,10,0,0,0,0,5,7,0,0,0,,1996,reg
Ante Razov,LA ,F,3,1,172,1,0,10,4,0,0/0,0,1,0.52,10,0,0,0,0,1,2,1,0,0,,1996,reg
Dante Washington,CLB,F,9,2,317,1,0,11,5,1,0/0,0,1,0.28,9.1,0,0,0,0,6,11,2,0,0,,1996,reg
Brian Bliss,CLB,D,19,19,1566,1,0,12,4,1,0/0,0,1,0.06,8.3,0,0,0,0,27,26,2,3,0,,1996,reg
Chad Ashton,DAL,M,23,10,974,1,0,23,8,0,0/0,0,1,0.09,4.3,0,0,0,0,11,12,0,1,0,,1996,reg
Diego Gutierrez,KC ,D,28,24,2068,0,4,17,3,0,0/0,0,0,0,0,3,3,1,0.17,29,32,1,5,0,,1996,reg
John DeBrito,NE ,D,21,18,1537,0,4,18,7,0,0/0,0,0,0,0,1,3,1,0.23,26,15,9,4,0,,1996,reg
Paul Wright,KC ,F,17,7,690,0,3,7,3,0,0/0,0,0,0,0,0,2,1,0.39,6,23,4,0,0,,1996,reg
Sean Bowers,KC ,D,31,31,2769,0,3,12,4,0,0/0,0,0,0,0,1,2,1,0.1,46,18,1,1,0,,1996,reg
Eddie Lewis,SJ ,M,25,13,1253,0,3,14,7,0,0/0,0,0,0,0,0,2,1,0.22,18,23,3,0,1,,1996,reg
Evans Wise,TB ,M,23,17,1512,0,3,22,7,0,0/0,0,0,0,0,0,1,2,0.18,53,41,15,3,0,,1996,reg
Ruben Hernandez,MET,M,10,9,836,0,3,34,16,0,0/0,0,0,0,0,1,3,0,0.32,5,14,13,0,0,,1996,reg
Felipe Rodriguez,COL,M,10,5,472,0,2,1,1,0,0/0,0,0,0,0,0,0,2,0.38,6,9,1,0,0,,1996,reg
Manny Lagos,MET,M,6,6,483,0,2,6,4,0,0/0,0,0,0,0,1,1,1,0.37,4,3,1,0,0,,1996,reg
Eric Eichmann,KC ,F,15,4,481,0,2,8,6,0,0/0,0,0,0,0,0,1,1,0.37,3,8,0,0,0,,1996,reg
Kevin Wylie,NE ,F,22,22,1839,0,2,9,2,0,0/0,0,0,0,0,0,1,1,0.1,30,22,0,3,0,,1996,reg
Victor Mella,NE ,M,8,6,583,0,2,10,3,0,0/0,0,0,0,0,1,1,1,0.31,8,7,2,0,0,,1996,reg
Michael Emenalo,SJ ,D,29,28,2534,0,2,14,8,0,0/0,0,0,0,0,2,1,1,0.07,53,32,3,13,0,,1996,reg
Petter Villegas,MET,M,3,2,165,0,1,0,0,0,0/0,0,0,0,0,1,0,1,0.55,2,5,1,0,0,,1996,reg
Obi Monome,CLB,M,1,0,26,0,1,0,0,0,0/0,0,0,0,0,0,0,1,3.46,0,0,0,0,0,,1996,reg
Andrew Shue,LA ,F,5,0,96,0,1,0,0,0,0/0,0,0,0,0,0,0,1,0.94,1,1,0,0,0,,1996,reg
Todd Miller,CLB,M,3,2,157,0,1,1,1,0,0/0,0,0,0,0,1,1,0,0.57,0,1,1,0,0,,1996,reg
Iain Fraser,NE ,D,23,23,2070,0,1,2,0,0,0/0,0,0,0,0,0,0,1,0.04,10,11,0,3,0,,1996,reg
Denis Hamlett,COL,D,31,31,2790,0,1,3,1,0,0/0,0,0,0,0,0,1,0,0.03,45,25,1,7,0,,1996,reg
Brian Kamler,DC ,M,12,3,470,0,1,4,2,0,0/0,0,0,0,0,1,1,0,0.19,4,3,0,0,0,,1996,reg
Kevin Koetters,KC ,M,15,6,743,0,1,4,2,0,0/0,0,0,0,0,0,0,1,0.12,8,7,0,0,0,,1996,reg
David Vaudreuil,DC ,D,14,13,1147,0,1,4,3,0,0/0,0,0,0,0,0,1,0,0.08,12,4,0,0,0,,1996,reg
Damian Silvera,MET,M,15,8,804,0,1,5,2,0,0/0,0,0,0,0,1,1,0,0.11,10,12,3,2,0,,1996,reg
Manny Motajo,LA ,D,20,16,1486,0,1,5,1,0,0/0,0,0,0,0,1,1,0,0.06,35,13,0,5,0,,1996,reg
Curt Onalfo,LA ,D,13,7,688,0,1,5,1,0,0/0,0,0,0,0,0,1,0,0.13,23,6,0,4,0,,1996,reg
Nidal Baba,MET,M,3,1,190,0,1,5,2,0,0/0,0,0,0,0,1,0,1,0.47,3,6,0,1,0,,1996,reg
Raimo De Vries,COL,F,4,4,355,0,1,5,2,0,0/0,0,0,0,0,0,1,0,0.25,2,3,8,0,0,,1996,reg
Adam Frye,TB ,D,15,9,725,0,1,6,4,0,0/0,0,0,0,0,0,1,0,0.12,14,6,3,3,1,,1996,reg
Rob Smith,CLB,M,9,9,765,0,1,6,2,0,0/0,0,0,0,0,0,1,0,0.12,15,5,1,2,0,,1996,reg
Dan Calichman,LA ,D,28,28,2372,0,1,8,2,0,0/0,0,0,0,0,0,0,1,0.04,35,24,1,7,0,,1996,reg
Scott Cannon,COL,D,21,16,1582,0,1,10,3,0,0/0,0,0,0,0,1,1,0,0.06,30,13,0,3,0,,1996,reg
Matt McKeon,KC ,D,12,9,823,0,1,10,9,0,0/0,0,0,0,0,0,1,0,0.11,14,7,0,2,0,,1996,reg
Edmundo Rodriguez,MET,M,11,5,473,0,1,10,4,0,0/0,0,0,0,0,0,0,1,0.19,11,3,6,0,0,,1996,reg
Samuel Ekeme,KC ,D,23,19,1693,0,1,20,9,0,0/0,0,0,0,0,0,1,0,0.05,25,21,0,4,1,,1996,reg
George Gelnovatch,DC ,M,2,2,135,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,4,0,0,0,,1996,reg
Said Fazlagic,DC ,D,2,1,136,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,0,,1996,reg
Ricci Greenwood,CLB,M,1,0,7,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1996,reg
Rivers Guthrie,TB ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1996,reg
Ken Hesse,MET,F,1,1,90,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1996,reg
Mirsad Huseinovic,MET,M,1,1,45,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1996,reg
Mike Huwiler,DC ,M,5,3,247,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,3,0,1,0,,1996,reg
